START time(sec)/1.1;END time(sec)/1.1;event;category/name
48,6;58,6;question + hand-raising;qa1_1
58,61;68,61;answer + teacher reaction;qa1_2
68,62;78,62;question + hand-raising;qa2_1
78,63;88,63;answer + teacher reaction;qa2_2
88,64;98,64;question + hand-raising;qa3_1
98,65;108,65;answer + question + hand-raising;qa3_2
108,66;118,66;hand-raising + answer;qa4
118,67;128,67;question + hand-raising + answer;qa5
131;141;teacher explanation;te1
141,1;151,1;teacher explanation;te2
151,2;161,2;teacher explanation;te3
161,3;171,3;teacher explanation;te4
171,4;181,4;teacher explanation;te5
181,5;191,5;teacher explanation;te6
;;;
194;204;question + hand-raising;qa6
204,1;214,1;question + hand-raising;qa7
214,2;224,2;question + hand-raising;qa8
224,3;234,3;reading + teacher explanation;te7
234,4;244,4;teacher explanation;te8
244,5;254,5;teacher explanation;te9
254,6;264,6;teacher explanation + question;te10
264,7;274,7;hand-raising + reaction;qa9
284,8;294,9;question + hand-raising + reading;qa10
296,9;306,9;teacher explanation;te11
307;317;teacher explanation;te12
317,1;327,1;teacher explanation;te13
327,2;337,2;teacher explanation;te14
337,3;347,3;teacher explanation;te15
347,4;357,4;question;qa11_1
357,5;367,5;hand-raising + answer;qa11_2
367,6;377,6;teacher explanation;te16
377,7;387,7;question + hand-raising + answer;qa12
387,8;397,8;answer + teacher reaction;te17
397,9;407,9;teacher explanation;te18
408;418;question + hand-raising + answer;qa13_1
418,1;428,1;answer + teacher reaction;qa13_2
;;;
435,2;445,2;teacher explanation;te19
445,3;455,3;teacher explanation;te20
455,4;465,4;teacher explanation;te21
465,5;475,5;teacher explanation;te22
475,6;485,6;teacher explanation;te23
485,7;495,7;teacher explanation;te24
495,8;505,8;teacher explanation;te25
505,9;515,9;teacher explanation;te26
516;526;teacher explanation;te27
526,1;536,1;teacher explanation;te28
536,2;546,2;teacher explanation;te29
546,3;556,3;question + nodding;qa14_1
556,4;566,4;question + hand-raising;qa14_2
566,5;576,5;2x question + hand-raising;qa14_3
576,6;586,6;hand-raising + solution;qa14_4
586,7;596,7;teacher explanation;te30
596,8;606,8;teacher explanation;te31
606,9;616,9;teacher explanation;te32
617;627;teacher explanation;te33
627,1;637,1;teacher explanation;te34
637,2;647,2;teacher explanation;te35
647,3;657,3;teacher explanation;te36
657,4;667,4;teacher explanation;te37
667,5;677,5;teacher explanation;te38
677,6;687,6;teacher explanation;te39
687,7;697,7;teacher explanation;te40
697,8;707,8;teacher explanation;te41
707,9;717,9;question + hand-raising;qa15_1
718;728;2x question + hand-raising;qa15_2
728,1;738,1;hand-raising + solution;qa15_3
738,2;748,2;teacher explanation;te42
748,3;758,3;teacher explanation;te43
758,4;768,4;teacher explanation;te44
768,5;778,5;teacher explanation;te45
778,6;788,6;teacher explanation;te46
788,7;798,7;teacher explanation + nodding;te47
800,8;810,8;teacher explanation;te48
810,9;820,9;teacher explanation;te49
821;831;teacher explanation;te50
831,1;841,9;teacher explanation;te51
842;852;teacher explanation + nodding;te52
