Start_float,End,event,name,event_agg,Start
48.6,58.6,question + hand-raising,qa1_1,1,50.0
58.61,68.61,answer + teacher reaction,qa1_2,1,60.0
68.62,78.62,question + hand-raising,qa2_1,1,70.0
78.63,88.63,answer + teacher reaction,qa2_2,1,80.0
88.64,98.64,question + hand-raising,qa3_1,1,90.0
98.65,108.65,answer + question + hand-raising,qa3_2,1,100.0
108.66,118.66,hand-raising + answer,qa4,1,110.0
118.67,128.67,question + hand-raising + answer,qa5,1,120.0
131.0,141.0,teacher explanation,te1,0,130.0
141.1,151.1,teacher explanation,te2,0,140.0
151.2,161.2,teacher explanation,te3,0,150.0
161.3,171.3,teacher explanation,te4,0,160.0
171.4,181.4,teacher explanation,te5,0,170.0
181.5,191.5,teacher explanation,te6,0,180.0
,,,,1,
194.0,204.0,question + hand-raising,qa6,1,190.0
204.1,214.1,question + hand-raising,qa7,1,200.0
214.2,224.2,question + hand-raising,qa8,1,210.0
224.3,234.3,reading + teacher explanation,te7,0,220.0
234.4,244.4,teacher explanation,te8,0,230.0
244.5,254.5,teacher explanation,te9,0,240.0
254.6,264.6,teacher explanation + question,te10,0,250.0
264.7,274.7,hand-raising + reaction,qa9,1,260.0
284.8,294.9,question + hand-raising + reading,qa10,1,280.0
296.9,306.9,teacher explanation,te11,0,300.0
307.0,317.0,teacher explanation,te12,0,310.0
317.1,327.1,teacher explanation,te13,0,320.0
327.2,337.2,teacher explanation,te14,0,330.0
337.3,347.3,teacher explanation,te15,0,340.0
347.4,357.4,question,qa11_1,1,350.0
357.5,367.5,hand-raising + answer,qa11_2,1,360.0
367.6,377.6,teacher explanation,te16,0,370.0
377.7,387.7,question + hand-raising + answer,qa12,1,380.0
387.8,397.8,answer + teacher reaction,te17,1,390.0
397.9,407.9,teacher explanation,te18,0,400.0
408.0,418.0,question + hand-raising + answer,qa13_1,1,410.0
418.1,428.1,answer + teacher reaction,qa13_2,1,420.0
,,,,1,
435.2,445.2,teacher explanation,te19,0,440.0
445.3,455.3,teacher explanation,te20,0,450.0
455.4,465.4,teacher explanation,te21,0,460.0
465.5,475.5,teacher explanation,te22,0,470.0
475.6,485.6,teacher explanation,te23,0,480.0
485.7,495.7,teacher explanation,te24,0,490.0
495.8,505.8,teacher explanation,te25,0,500.0
505.9,515.9,teacher explanation,te26,0,510.0
516.0,526.0,teacher explanation,te27,0,520.0
526.1,536.1,teacher explanation,te28,0,530.0
536.2,546.2,teacher explanation,te29,0,540.0
546.3,556.3,question + nodding,qa14_1,1,550.0
556.4,566.4,question + hand-raising,qa14_2,1,560.0
566.5,576.5,2x question + hand-raising,qa14_3,1,570.0
576.6,586.6,hand-raising + solution,qa14_4,1,580.0
586.7,596.7,teacher explanation,te30,0,590.0
596.8,606.8,teacher explanation,te31,0,600.0
606.9,616.9,teacher explanation,te32,0,610.0
617.0,627.0,teacher explanation,te33,0,620.0
627.1,637.1,teacher explanation,te34,0,630.0
637.2,647.2,teacher explanation,te35,0,640.0
647.3,657.3,teacher explanation,te36,0,650.0
657.4,667.4,teacher explanation,te37,0,660.0
667.5,677.5,teacher explanation,te38,0,670.0
677.6,687.6,teacher explanation,te39,0,680.0
687.7,697.7,teacher explanation,te40,0,690.0
697.8,707.8,teacher explanation,te41,0,700.0
707.9,717.9,question + hand-raising,qa15_1,1,710.0
718.0,728.0,2x question + hand-raising,qa15_2,1,720.0
728.1,738.1,hand-raising + solution,qa15_3,1,730.0
738.2,748.2,teacher explanation,te42,0,740.0
748.3,758.3,teacher explanation,te43,0,750.0
758.4,768.4,teacher explanation,te44,0,760.0
768.5,778.5,teacher explanation,te45,0,770.0
778.6,788.6,teacher explanation,te46,0,780.0
788.7,798.7,teacher explanation + nodding,te47,0,790.0
800.8,810.8,teacher explanation,te48,0,800.0
810.9,820.9,teacher explanation,te49,0,810.0
821.0,831.0,teacher explanation,te50,0,820.0
831.1,841.9,teacher explanation,te51,0,830.0
842.0,852.0,teacher explanation + nodding,te52,0,840.0
